,injection_site,marker_color
LM17,CSC,"(0.37647058823529411, 0.78823529411764703, 0.94901960784313721)"
LM22,CSC,"(0.37647058823529411, 0.78823529411764703, 0.94901960784313721)"
LM27,LSC,"(0, 1, 0)"
LM30new,LSC,"(0, 1, 0)"
LM31,PcRT,"(0.69803921568627447, 0.0, 1.0)"
LM32,IC,"(0.70588235294117652, 0.93725490196078431, 0.33725490196078434)"
LM37,MSC,"(1.0, 1.0, 0.0)"
LM38,IC,"(0.70588235294117652, 0.93725490196078431, 0.33725490196078434)"
LM40new,DR,"(1.0, 0.0, 0.0)"
LM41,CSC,"(0.37647058823529411, 0.78823529411764703, 0.94901960784313721)"
LM46,Pno,"(0.0, 0.0, 1.0)"
LM48,PcRT,"(0.69803921568627447, 0.0, 1.0)"
LM54,DR,"(1.0, 0.0, 0.0)"
LM84,Pno,"(0.0, 0.0, 1.0)"
LM86,LSC,"(0, 1, 0)"
LM94_LM96_LM25,DR,"(1.0, 0.0, 0.0)"
LM95,MSC,"(1.0, 1.0, 0.0)"
